Position,Percentile,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vert,Max Vert,Lane Agility,Shuttle,Sprint,Bench
Center,0.97,85.7915,300.65999999999997,92.5,115.42999999999999,10.0,11.081,35.0,39.5,11.045,2.892,3.0,18.989999999999995
Center,0.98,87.11,303.0,92.99999999999999,115.62,10.0,11.3,35.7,39.85,10.979000000000001,2.828,3.0,19.0
Center,0.99,87.68299999999999,309.7099999999998,94.47999999999999,116.62,10.045000000000002,11.345000000000002,36.849999999999994,40.849999999999994,10.936,2.7424,3.0,20.64999999999999
Forward,0.0,74.0,174.4,76.75,96.5,7.75,7.3,20.5,21.0,14.45,3.76,3.81,0.0
Forward,0.01,75.5,184.988,78.495,99.0,8.0,8.3,23.0,26.0,13.125,3.54,3.6482,0.0
Forward,0.02,75.99,187.984,79.0,100.0,8.0,8.3,23.5,27.0,12.93,3.5212,3.5982,0.0
Forward,0.03,76.0,191.6,79.25,100.5,8.2,8.5,23.5,28.0,12.764,3.4636,3.56,0.5399999999999991
Forward,0.04,76.0,193.38400000000001,79.98,100.5,8.25,8.5,24.0,28.0,12.642000000000001,3.4124,3.54,2.0
Forward,0.05,76.475,195.8,80.0,101.0,8.25,8.5,24.0,28.5,12.524999999999999,3.38,3.5255,2.0
Forward,0.06,76.5,196.776,80.25,101.0,8.25,8.5,24.5,29.0,12.48,3.35,3.51,2.0
Forward,0.07,76.5,197.77200000000002,80.5,101.5,8.25,8.56,24.990000000000002,29.0,12.43,3.33,3.5,2.260000000000005
Forward,0.08,76.75,198.484,80.5,102.0,8.25,8.8,25.0,29.0,12.302000000000001,3.32,3.4828,3.0
Forward,0.09,76.75,199.964,80.791,102.0,8.25,8.8,25.0,29.5,12.26,3.31,3.47,3.0
Forward,0.1,76.75,200.4,81.0,102.0,8.5,8.8,25.5,29.5,12.22,3.3,3.47,4.0
Forward,0.11,77.0,201.912,81.0,102.0,8.5,8.8,25.5,30.0,12.18,3.3,3.46,4.0
Forward,0.12,77.0,202.552,81.0,102.5,8.5,8.8,25.5,30.0,12.15,3.29,3.45,5.0
Forward,0.13,77.25,203.2,81.25,102.5,8.5,8.96,25.5,30.0,12.11,3.28,3.45,5.0
Forward,0.14,77.25,204.744,81.25,102.5,8.5,9.0,26.0,30.5,12.066,3.2784,3.44,5.0
Forward,0.15,77.25,205.14,81.5,103.0,8.5,9.0,26.0,30.5,12.04,3.269,3.43,5.0
Forward,0.16,77.5,206.136,81.5,103.0,8.5,9.0,26.0,30.5,12.0,3.25,3.43,5.0
Forward,0.17,77.5,206.4,81.5,103.0,8.5,9.0,26.0,30.5,12.0,3.25,3.42,6.0
Forward,0.18,77.5,207.2,81.75,103.0,8.5,9.0,26.5,31.0,11.97,3.2408,3.41,6.0
Forward,0.19,77.5,208.0,81.75,103.0,8.5,9.0,26.5,31.0,11.95,3.24,3.4,6.0
Forward,0.2,77.75,208.72,82.0,103.5,8.5,9.0,26.5,31.0,11.93,3.232,3.4,6.0
Forward,0.21,77.75,209.0,82.0,103.5,8.5,9.0,26.5,31.075000000000003,11.9,3.23,3.4,6.0
Forward,0.22,77.75,209.71200000000002,82.0,103.5,8.5,9.0,26.5,31.5,11.88,3.23,3.3902,7.0
Forward,0.23,77.75,210.308,82.0,103.5,8.5,9.0,27.0,31.5,11.86,3.22,3.38,7.0
Forward,0.24,78.0,211.0,82.0,103.5,8.5,9.0,27.0,31.5,11.846,3.21,3.38,7.0
Forward,0.25,78.0,211.2,82.25,104.0,8.5,9.0,27.0,31.5,11.83,3.205,3.38,7.0
Forward,0.26,78.0,211.6,82.25,104.0,8.5,9.0,27.0,31.5,11.81,3.2,3.37,7.0
Forward,0.27,78.0,212.2,82.3,104.0,8.5,9.3,27.0,32.0,11.79,3.2,3.37,8.0
Forward,0.28,78.0,212.8,82.5,104.0,8.5,9.3,27.0,32.0,11.77,3.19,3.36,8.0
Forward,0.29,78.10499999999999,213.08399999999997,82.5,104.0,8.75,9.3,27.0,32.0,11.75,3.19,3.36,8.0
Forward,0.3,78.25,213.88,82.75,104.0,8.75,9.3,27.5,32.0,11.74,3.18,3.35,8.0
Forward,0.31,78.25,214.0,82.75,104.5,8.75,9.3,27.5,32.0,11.72,3.17,3.35,8.0
Forward,0.32,78.25,214.6,82.75,104.5,8.75,9.3,27.5,32.5,11.7,3.1684,3.34,8.759999999999991
Forward,0.33,78.25,215.0,83.0,104.5,8.75,9.3,27.5,32.5,11.69,3.15,3.34,9.0
Forward,0.34,78.5,215.864,83.0,104.5,8.75,9.3,27.5,32.5,11.686,3.15,3.34,9.0
Forward,0.35000000000000003,78.5,216.0,83.0,104.5,8.75,9.3,27.5,32.5,11.665,3.14,3.33,9.0
Forward,0.36,78.5,216.856,83.0,104.5,8.75,9.3,28.0,32.5,11.65,3.14,3.33,9.0
Forward,0.37,78.5,217.25199999999998,83.25,104.5,8.75,9.3,28.0,33.0,11.64,3.13,3.32,9.0
Forward,0.38,78.5,218.0,83.25,105.0,8.75,9.3,28.0,33.0,11.62,3.12,3.32,10.0
Forward,0.39,78.75,218.12199999999999,83.25,105.0,8.75,9.5,28.0,33.0,11.61,3.12,3.32,10.0
Forward,0.4,78.75,218.6,83.5,105.0,8.75,9.5,28.0,33.0,11.59,3.11,3.31,10.0
Forward,0.41000000000000003,78.75,219.2,83.5,105.0,8.75,9.5,28.5,33.0,11.579,3.1,3.31,10.0
Forward,0.42,78.75,219.8,83.5,105.0,8.75,9.5,28.5,33.0,11.56,3.1,3.3,10.0
Forward,0.43,79.0,220.0,83.5,105.5,8.75,9.5,28.5,33.5,11.55,3.1,3.3,10.0
Forward,0.44,79.0,220.512,83.53,105.5,8.75,9.5,28.5,33.5,11.54,3.09,3.3,10.0
Forward,0.45,79.0,221.0,83.75,105.5,8.75,9.5,28.5,33.5,11.515,3.09,3.3,11.0
Forward,0.46,79.0,221.6,83.75,105.5,8.75,9.5,28.5,33.5,11.504,3.08,3.29,11.0
Forward,0.47000000000000003,79.0,222.0,84.0,105.5,8.800000000000004,9.5,28.5,33.5,11.483,3.08,3.29,11.0
Forward,0.48,79.0,222.20799999999997,84.0,105.5,9.0,9.5,28.5,34.0,11.47,3.07,3.29,11.0
Forward,0.49,79.25,222.804,84.0,105.5,9.0,9.5,29.0,34.0,11.46,3.07,3.29,11.0
Forward,0.5,79.25,223.0,84.0,106.0,9.0,9.5,29.0,34.0,11.45,3.06,3.28,11.0
Forward,0.51,79.25,223.8,84.0,106.0,9.0,9.5,29.0,34.0,11.43,3.06,3.28,11.0
Forward,0.52,79.25,224.192,84.0,106.0,9.0,9.5,29.0,34.5,11.42,3.0511999999999997,3.28,12.0
Forward,0.53,79.25,225.388,84.25,106.0,9.0,9.5,29.0,34.5,11.4,3.05,3.27,12.0
Forward,0.54,79.48400000000001,226.0,84.25,106.0,9.0,9.5,29.0,34.5,11.39,3.05,3.27,12.0
Forward,0.55,79.5,226.6,84.25,106.0,9.0,9.5,29.5,34.5,11.38,3.04,3.27,12.0
Forward,0.56,79.5,227.0,84.5,106.5,9.0,9.5,29.5,34.5,11.36,3.04,3.26,12.0
Forward,0.5700000000000001,79.5,227.4,84.5,106.5,9.0,9.8,29.5,34.775000000000034,11.35,3.04,3.26,12.0
Forward,0.58,79.5,228.0,84.5,106.5,9.0,9.8,29.5,35.0,11.34,3.0348,3.26,12.0
Forward,0.59,79.5,228.36399999999998,84.5,106.5,9.0,9.8,29.5,35.0,11.33,3.03,3.25,13.0
Forward,0.6,79.75,229.0,84.5,106.5,9.0,9.8,29.5,35.0,11.32,3.03,3.25,13.0
