Position,Draft,Percentile,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vert,Max Vert,Lane Agility,Shuttle,Sprint,Bench
Center,ALL,0.78,83.75,267.62,89.355,112.32,9.75,10.5,29.0,33.0,11.5,3.0,3.3272,15.0
Center,ALL,0.79,83.75,268.51,89.5,112.76,9.75,10.5,29.020000000000003,33.02,11.5,3.0,3.32,15.0
Center,ALL,0.8,83.75,269.56,89.5,113.0,9.75,10.5,29.400000000000002,33.400000000000006,11.5,3.0,3.32,15.0
Center,ALL,0.81,83.7545,271.18,89.52250000000001,113.0,9.75,10.5,29.5,33.5,11.4944,3.0,3.3144,15.170000000000002
Center,ALL,0.8200000000000001,83.79899999999999,272.96000000000004,89.745,113.0,9.75,10.5,29.5,33.660000000000004,11.49,3.0,3.3068,15.740000000000002
Center,ALL,0.8300000000000001,83.974,273.87,89.75,113.0,9.75,10.5,29.540000000000003,34.0,11.4892,3.0,3.3,16.0
Center,ALL,0.84,84.0,275.976,89.75,113.0,9.75,10.5,29.919999999999998,34.0,11.4816,3.0,3.3,16.0
Center,ALL,0.85,84.0,277.51,89.9125,113.0,9.75,10.5,30.299999999999997,34.0,11.450000000000001,2.975,3.288,16.0
Center,ALL,0.86,84.0,278.324,90.0,113.0,9.75,10.62,30.5,34.0,11.4192,2.95,3.2763999999999998,16.019999999999996
Center,ALL,0.87,84.32249999999999,279.202,90.0,113.0,9.75,10.74,30.560000000000002,34.120000000000005,11.4,2.925,3.27,16.589999999999996
Center,ALL,0.88,84.75,280.128,90.08,113.0,9.75,10.840000000000002,30.939999999999998,34.879999999999995,11.4,2.9,3.27,17.0
Center,ALL,0.89,84.80250000000001,282.16400000000004,90.25,113.0,9.75,10.92,31.0,35.0,11.3616,2.9,3.27,17.0
Center,ALL,0.9,85.0,288.92,90.275,113.0,9.75,11.0,31.200000000000003,35.0,11.312,2.9,3.266,17.300000000000004
Center,ALL,0.91,85.0,289.988,90.4975,113.0,9.85,11.0,31.5,35.16,11.2684,2.9,3.2584,17.870000000000005
Center,ALL,0.92,85.0,290.88,90.5,113.0,9.950000000000001,11.0,31.5,35.92,11.2608,2.9,3.2508,18.0
Center,ALL,0.93,85.1925,291.61600000000004,90.5,113.42,10.0,11.0,31.5,36.34,11.2464,2.875,3.2363999999999997,18.0
Center,ALL,0.9400000000000001,85.25,292.59200000000004,90.83000000000001,113.5,10.0,11.0,31.5,36.5,11.2224,2.8499999999999996,3.2256,18.0
Center,ALL,0.9500000000000001,85.25,297.4000000000001,91.55000000000001,113.80000000000001,10.0,11.0,31.6,36.6,11.192,2.8249999999999997,3.216,18.150000000000006
Center,ALL,0.96,85.25,301.88,92.22,114.0,10.0,11.12,31.979999999999997,36.98,11.1616,2.8,3.2008,18.72
Center,ALL,0.97,85.41499999999999,303.0,92.5825,114.53999999999999,10.0,11.24,32.36,37.0,11.1168,2.76,3.1424000000000003,19.0
Center,ALL,0.98,86.13499999999999,305.41999999999996,93.025,115.62,10.100000000000001,11.400000000000002,32.5,37.0,11.0184,2.7199999999999998,3.0624,19.0
Center,ALL,0.99,87.6925,316.2,94.4675,116.78000000000003,10.3,11.600000000000001,32.739999999999995,37.59999999999999,10.906,2.68,3.0,21.15
Center,DRAFTED,0.0,79.25,206.4,83.0,104.5,8.5,7.8,22.5,25.0,12.85,3.61,3.62,4.0
Center,DRAFTED,0.01,79.7645,207.184,83.75,105.235,8.5,7.9,22.88,25.76,12.724599999999999,3.5682,3.601,4.0
Center,DRAFTED,0.02,80.279,207.968,84.5,105.97,8.5,8.0,23.26,26.52,12.5992,3.5263999999999998,3.582,4.0
Center,DRAFTED,0.03,80.3,210.162,84.75,106.0,8.5,8.25,23.57,27.07,12.517199999999999,3.4972,3.5629999999999997,4.0
Center,DRAFTED,0.04,80.3,212.416,85.0,106.0,8.5,8.5,23.76,27.26,12.509599999999999,3.4896,3.544,4.0
Center,DRAFTED,0.05,80.39,216.38,85.0,106.225,8.5,8.75,23.95,27.45,12.502,3.4819999999999998,3.525,4.0
Center,DRAFTED,0.06,80.488,220.496,85.0,106.47,8.5,9.0,24.0,27.64,12.4972,3.4576,3.5172,4.0
Center,DRAFTED,0.07,80.6075,221.344,85.125,106.715,8.625,9.0,24.0,27.83,12.4934,3.4272,3.5134,4.0
Center,DRAFTED,0.08,80.73,221.73600000000002,85.25,106.96,8.75,9.0,24.0,28.04,12.478,3.3992,3.5096,4.0
Center,DRAFTED,0.09,80.75,221.882,85.25,107.0,8.75,9.0,24.0,28.42,12.364,3.3916,3.5058,4.0
Center,DRAFTED,0.1,80.75,221.98,85.25,107.0,8.75,9.0,24.0,28.8,12.25,3.384,3.502,4.0
Center,DRAFTED,0.11,80.8475,222.546,85.375,107.195,8.875,9.0,24.09,29.0,12.1738,3.38,3.5,4.0
Center,DRAFTED,0.12,80.97,223.232,85.5,107.44,9.0,9.0,24.28,29.0,12.1396,3.38,3.5,4.08
Center,DRAFTED,0.13,81.0,225.472,85.625,107.5,9.0,9.15,24.47,29.0,12.1054,3.38,3.5,4.17
Center,DRAFTED,0.14,81.0,228.216,85.75,107.5,9.0,9.3,24.5,29.0,12.0936,3.364,3.5,4.26
Center,DRAFTED,0.15,81.0,229.14000000000001,85.875,107.675,9.0,9.4,24.5,29.0,12.086,3.345,3.5,4.35
Center,DRAFTED,0.16,81.0,229.336,86.0,107.92,9.0,9.5,24.54,29.04,12.0784,3.3284000000000002,3.5,4.4399999999999995
Center,DRAFTED,0.17,81.0,229.466,86.0,108.165,9.0,9.5,24.73,29.23,12.0708,3.3208,3.5,4.53
Center,DRAFTED,0.18,81.0,229.564,86.0,108.41,9.0,9.5,24.92,29.42,12.0632,3.3132,3.5,4.62
Center,DRAFTED,0.19,81.0,229.724,86.0,108.5,9.0,9.5,25.22,29.5,12.0512,3.3078,3.5,4.71
Center,DRAFTED,0.2,81.0,229.92,86.0,108.5,9.0,9.5,25.6,29.5,12.036,3.304,3.5,4.8
Center,DRAFTED,0.21,81.0,230.058,86.0,108.5,9.0,9.5,25.98,29.5,12.0208,3.3002,3.5,4.89
Center,DRAFTED,0.22,81.0,230.15599999999998,86.0,108.5,9.0,9.5,26.0,29.68,12.0128,3.3,3.5,4.98
Center,DRAFTED,0.23,81.0675,230.79399999999998,86.125,108.5,9.0,9.5,26.0,29.87,12.0052,3.3,3.5,5.140000000000001
Center,DRAFTED,0.24,81.19,231.872,86.25,108.5,9.0,9.5,26.0,30.0,11.988,3.2988,3.4964,5.32
Center,DRAFTED,0.25,81.25,232.5,86.375,108.5,9.0,9.5,26.0,30.0,11.95,3.295,3.4850000000000003,5.5
Center,DRAFTED,0.26,81.25,232.696,86.5,108.5,9.0,9.5,26.0,30.0,11.912,3.2912,3.4736000000000002,5.68
Center,DRAFTED,0.27,81.25,232.984,86.5,108.615,9.0,9.65,26.0,30.0,11.9,3.2796,3.4674,5.86
Center,DRAFTED,0.28,81.25,233.376,86.5,108.86,9.0,9.8,26.0,30.0,11.9,3.2644,3.4636,6.040000000000001
Center,DRAFTED,0.29,81.25,233.684,86.5,109.0,9.0,9.8,26.0,30.009999999999998,11.899000000000001,3.2494,3.4596,6.22
Center,DRAFTED,0.3,81.25,233.88,86.5,109.0,9.0,9.8,26.0,30.2,11.88,3.238,3.452,6.3999999999999995
Center,DRAFTED,0.31,81.2975,234.494,86.625,109.0,9.0,9.8,26.0,30.39,11.861,3.2266000000000004,3.4444,6.58
Center,DRAFTED,0.32,81.42,235.768,86.75,109.0,9.0,9.8,26.08,30.5,11.85,3.2168,3.44,6.76
