Draft,Position,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vert,Max Vert,Lane Agility,Shuttle,Sprint,Bench
LOTTERY,Guard,75.3,190.8,79,103.5,8,9.3,28.5,35,11,NA,3.19,NA
LOTTERY,Forward,80.3,179.2,81,105,8,8.3,27,33,12,NA,3,NA
FIRST ROUND,Guard,77.8,210,79.5,102.5,8.25,9.5,32,39,11,NA,3,NA
FIRST ROUND,Forward,78.5,252.2,84.8,106.5,8.75,9.8,29,32,11,3,3,NA
FIRST ROUND,Guard,76.3,186.8,79.8,102.5,8,9.3,29,36,12,NA,3,NA
LOTTERY,Forward,79,220.4,84.5,107,9,10,29,33,11,3,3,NA
LOTTERY,Forward,77.5,223.8,81.8,104,9.25,10,31,36,11.24,NA,3,NA
LOTTERY,Guard,76,204.2,81,101.5,8.5,9,NA,NA,NA,NA,NA,NA
ALL,Forward,77,208,81,103,7.75,8.5,31,37,11.2,3,3,NA
FIRST ROUND,Guard,78.3,204,80.8,101,8.25,9,29,34,11.13,3,4,NA
ALL,Guard,73,191.8,76.5,97,8,9.3,31,36,10.96,NA,3,NA
LOTTERY,Center,82.3,212.6,87.3,110.5,9,10,NA,NA,NA,NA,NA,NA
FIRST ROUND,Guard,76.3,186,78.8,101.5,8.25,8.8,NA,NA,NA,NA,NA,NA
FIRST ROUND,Forward,80.3,213.6,84.5,107,9.25,10.3,33,36,11.27,NA,3,NA
FIRST ROUND,Guard,76.3,216.6,82.3,100.5,9,9.8,NA,NA,NA,NA,NA,NA
LOTTERY,Forward,77.5,198.4,81.8,103,8.25,9.5,31,40,10.83,NA,3,NA
LOTTERY,Center,80.3,240.4,85,106,9.25,10.8,33,37,11.8,3,3,NA
ALL,Forward,80.3,214.4,83.5,106,8.5,10,31,37,11.39,NA,3,NA
FIRST ROUND,Forward,78,226.4,81.5,99.5,8.5,9.5,35,39,11.21,NA,3,NA
LOTTERY,Forward,76,238.6,84,103,9,9,NA,NA,NA,NA,NA,NA
LOTTERY,Guard,76.5,199.2,80,103,8.25,8.5,30.5,35,11.14,3.13,3.33,NA
ALL,Forward,78.3,221.8,84.5,103.5,8.5,10,32.5,34.5,11.35,3.26,3.44,NA
LOTTERY,Guard,75.8,200.6,80,101,8.75,9.5,33.5,42,11.07,NA,3.18,NA
LOTTERY,Guard,78.3,207.2,84,104.5,8.75,9.5,32.5,36.5,11.4,NA,3.43,NA
LOTTERY,Forward,78,219.2,83.3,104.5,8.5,9,30.5,37,11.65,NA,3.27,NA
LOTTERY,Forward,76,214.4,82.3,104,8.5,9,31.5,35.5,11.02,NA,3.15,NA
ALL,Guard,72.8,205,72.5,96,8,8.3,33,37,11.01,3.24,3.11,NA
LOTTERY,Forward,76.5,191.6,83.8,103.5,8.5,9.3,32,36.5,11.43,3.21,3.17,NA
LOTTERY,Forward,81.3,212.8,86,106.5,9.5,10.5,32,37.5,11,NA,3.33,NA
ALL,Guard,75,176.4,75.5,98,8.25,9.3,28.5,37,10.32,3.13,3.24,NA
ALL,Forward,78.8,193,82,105,8.25,9.5,29,37,10.92,NA,3.32,NA
ALL,Guard,77.3,188.6,81.8,103.5,9,10.3,29,35.5,10.8,NA,3.22,NA
FIRST ROUND,Forward,79.8,212.8,83.8,106,8.5,9,29.5,35,11.11,NA,3.3,NA
LOTTERY,Forward,78.8,196.6,83.5,102,8.5,9,36,43,11.09,NA,3.32,NA
LOTTERY,Guard,74,197.8,79.3,98.5,8.5,7.5,28.5,33,11.91,3.41,3.35,NA
FIRST ROUND,Guard,75.8,203.8,77.5,96.5,8.25,10,31.5,39,11.16,3.2,3.21,NA
FIRST ROUND,Forward,78.8,212.4,85,104,8.25,10,35,40.5,10.59,3,3.21,NA
LOTTERY,Forward,78,193.2,86,106,8.5,9.5,27.5,32.5,11.18,NA,3.43,NA
ALL,Center,79.3,257.8,86.8,108.5,9.75,10,28.5,31,11.5,NA,3.31,NA
