Draft,Position,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vert,Max Vert,Lane Agility,Shuttle,Sprint,Bench
ALL,Guard,74.5,201.8,83.25,100,9,9.8,32.5,38,10.45,3.01,3.19,NA
ALL,Guard,73.5,173,77.5,95.5,8,8.5,NA,NA,NA,NA,NA,NA
FIRST ROUND,Guard,75.5,189.8,79,100.5,8.5,9,NA,NA,NA,0,NA,NA
ALL,Forward,76.25,206.6,81.25,101,8,9.3,32,38,10.9,2.87,3.17,NA
LOTTERY,Forward,79.25,229.2,85.5,105,9.5,10,29,33,11.16,3.1,3.3,NA
LOTTERY,Forward,79.5,224.4,85.75,103.5,9,10.3,37.5,40.5,10.26,2.86,3.17,NA
LOTTERY,Guard,75.75,223,82.5,98,9,10.3,30.5,35.5,10.77,2.64,3.31,NA
FIRST ROUND,Forward,77.25,222.8,83.75,102.5,8.75,9,NA,NA,NA,NA,NA,NA
FIRST ROUND,Forward,80.75,233,84.25,105,9,9,32.5,38.5,11.93,3.05,3.26,NA
ALL,Forward,77,209.8,82,100.5,8.5,10.3,NA,NA,NA,NA,NA,NA
LOTTERY,Guard,75.25,194,78.25,98.5,8.25,8.8,30.5,37,10.79,2.97,3.24,NA
LOTTERY,Forward,81.25,237.2,86.5,108.5,9,9.3,NA,NA,NA,NA,NA,NA
LOTTERY,Forward,79.5,218.6,88.5,107.5,8.5,9.8,31,35,11.24,3.3,3.26,NA
FIRST ROUND,Guard,75,0,81.5,100,NA,NA,NA,NA,NA,NA,NA,NA
FIRST ROUND,Forward,82,242,86.25,108,8.5,9.8,NA,NA,NA,NA,NA,NA
ALL,Forward,79,217.8,82.25,102,8,8.5,32,38,10.73,3.03,3.13,NA
LOTTERY,Guard,68.25,177.2,74.5,88.5,8.25,8.5,35.5,44,11.52,2.9,3.15,NA
ALL,Forward,78.5,212.6,83.75,105.5,9,9.8,32.5,35.5,11.01,3.04,3.27,NA
LOTTERY,Guard,77.5,204.6,79.5,101,8,9,33.5,37.5,11,3.19,3.12,NA
LOTTERY,Forward,78.25,197,81,103.5,9,8.5,26,29,11.48,3.2,3.4,NA
FIRST ROUND,Guard,75.75,212.4,81.25,101,8.5,9,NA,NA,NA,NA,NA,NA
LOTTERY,Guard,72,193.8,77.5,93,8.25,9,37.5,43.5,10.81,2.87,3.25,NA
FIRST ROUND,Forward,81,208.6,84.5,106.5,9,8.3,33.5,38,11.88,2.94,3.2,NA
FIRST ROUND,Center,82.25,243.6,87.75,107,8.75,10.5,36,37,11.35,3.12,3.2,NA
ALL,Forward,82.5,215.8,86.5,105.5,8.75,9,NA,NA,NA,NA,NA,NA
LOTTERY,Forward,80,208.6,81.25,102,8.25,9.3,33,39.5,11.35,2.82,3.24,NA
ALL,Forward,81,211,87,107.5,9,9,28.5,35.5,11.68,3.19,3.25,NA
FIRST ROUND,Guard,77.75,191,82,101,8.5,9.3,NA,NA,NA,NA,NA,NA
FIRST ROUND,Forward,83.75,216,87,110.5,8.75,9.5,32,36.5,11.15,3.09,3.33,NA
LOTTERY,Guard,77.25,180.8,82,100.5,8.75,8.8,30,38,11.01,2.97,3.3,NA
LOTTERY,Forward,78.75,230.8,82,103,9.25,9.3,25,31,11.64,3.17,3.49,NA
LOTTERY,Center,81,245.2,86.75,108.5,9,8,27.5,33.5,11.65,3,3.5,NA
LOTTERY,Guard,72.5,163.8,78.25,97,7.75,8.8,33.5,39.5,10.82,2.69,3.15,NA
ALL,Guard,74,183.8,80,99.5,8.75,9.5,31.5,38.5,11.57,3.17,3.23,NA
FIRST ROUND,Center,84.25,239,86.75,111.5,9.25,10.3,NA,NA,NA,NA,NA,NA
FIRST ROUND,Forward,78.5,220.2,83.5,102,9,8.5,34,36,10.96,2.8,3.24,NA
LOTTERY,Forward,85.25,218.2,91.75,112.5,9.25,9.5,31.5,32,11.27,2.9,3.46,NA
FIRST ROUND,Forward,76.75,199.6,84,101.5,8.75,10,33,38,10.56,3.25,3.33,NA
ALL,Guard,76.25,232.4,82.5,101,9,9.3,NA,NA,NA,NA,NA,NA
FIRST ROUND,Forward,80.25,226.6,87.25,107.5,9.25,10,30.5,36.5,11.25,3.09,3.41,NA
LOTTERY,Center,81,254.4,86.75,108.5,8.5,7.8,27,29.5,12.02,3.22,3.5,NA
LOTTERY,Guard,68.75,149.2,74,88.5,7.5,7.5,32.5,38,10.8,2.88,3.2,NA
ALL,Forward,80.5,214.4,83.5,104,8.75,9,29,34.5,11.52,3.03,3.5,NA
FIRST ROUND,Forward,76,210.4,82.75,102,8.5,9.8,27,32,10.51,3.22,3.46,NA
LOTTERY,Guard,75.25,210,80.75,100,8.5,8.8,27.5,35.5,11.65,3.21,3.34,NA
ALL,Forward,77.75,217.8,80.25,102,8.25,9.3,30,36,10.72,3.08,3.35,NA
ALL,Forward,80.75,242.8,84.25,102.5,8.25,9.5,28.5,35.5,11.35,3.04,3.48,NA
LOTTERY,Center,82.25,234,87.25,108.5,9,9,26,31,12.08,3.16,3.43,NA
ALL,Forward,79.25,239.2,87.5,109.5,9.5,10.3,NA,NA,NA,NA,NA,NA
FIRST ROUND,Forward,77.25,230.6,83.75,101,8.5,9.5,38,43,11.13,2.88,3.22,12
ALL,Forward,79.25,228,87.75,105,9,9.5,31.5,35.5,11.21,3.35,3.58,9
ALL,Guard,70,169.6,72.5,92.5,7.5,8.8,32,41,10.71,3.05,3.26,10
FIRST ROUND,Guard,76.5,205.8,80.25,102.5,8.75,9,27.5,34.5,10.27,2.75,3.28,8
LOTTERY,Forward,77.75,211,83,104.5,8.5,9,27.5,34.5,10.94,3.29,3.18,4
FIRST ROUND,Center,83.25,242.4,87,111,9.5,9,NA,NA,NA,NA,NA,NA
LOTTERY,Forward,80.25,242.6,89.25,110.5,9.25,9,29,32,11.6,3.3,3.47,9
LOTTERY,Guard,76,215,80,96,8.5,9.3,37.5,44,10.58,3.08,3.2,13
ALL,Guard,72.25,179,76,96.5,7.5,8.8,24.5,31,11.44,3.41,3.38,14
LOTTERY,Forward,77.5,230.2,83,105,9,8.8,28.5,34.5,12.22,3.53,3.2,12
FIRST ROUND,Forward,79.75,218.6,83.5,106,8.5,9.3,25.5,34.5,10.64,2.96,3.28,5
ALL,Guard,75.75,199.4,80,101.5,8.25,9.3,27,35,10.66,3.02,3.32,10
ALL,Forward,76,219.4,82.5,103,8.5,8.3,28.5,31.5,11.64,3.15,3.3,11
FIRST ROUND,Guard,75.25,198,79.5,100,8.25,8.5,NA,NA,NA,NA,NA,NA
LOTTERY,Guard,75.25,185.8,78,100,8,8.8,28,34,11.41,3.12,3.25,19
LOTTERY,Forward,79,253.4,88.25,109,9,9.8,NA,NA,NA,NA,NA,NA
ALL,Guard,76.5,209.2,80.25,100.5,8.75,10,28.5,34.5,NA,NA,3.27,1
LOTTERY,Guard,76.5,213.2,81,100,8.25,9.3,26.5,33,11.2,NA,3.34,NA
LOTTERY,Guard,74.75,181.4,77.5,98.5,7.75,8.8,26,28.5,10.56,2.93,3.44,1
ALL,Guard,72.75,191.8,80,99.5,8.75,9,28.5,34,10.81,NA,3.51,9
FIRST ROUND,Forward,77.5,210.8,86,104,8.75,9.8,32,38,10.41,3.19,3.12,13
ALL,Forward,80.25,242.2,83.5,107.5,8.25,9.5,25.5,31,10.95,3.12,3.51,NA
LOTTERY,Forward,80.25,242.8,85.5,108,8.5,8.5,32.5,36,11.24,3.31,3.32,15
FIRST ROUND,Guard,76.5,185,82.5,104,8.5,8.3,27.5,33.5,10.87,2.91,3.26,1
ALL,Forward,78.75,208.4,83,104.5,9,8.8,33.5,37.5,11.19,3.06,3.26,13
LOTTERY,Center,83,264.6,86,112,9.25,10.5,22.5,25,11.76,2.94,3.62,4
FIRST ROUND,Forward,77,241.8,83.5,102,9,9,NA,NA,NA,NA,NA,NA
FIRST ROUND,Guard,72.5,184.6,77,97,8.25,8.8,26.5,32.5,11.84,2.95,3.32,2
FIRST ROUND,Forward,83.75,231.2,83,109.5,8.5,9.5,NA,NA,NA,NA,NA,NA
FIRST ROUND,Forward,80,222.4,87.5,110,9.5,9.3,NA,NA,NA,NA,NA,NA
FIRST ROUND,Forward,81,241.2,85.5,108,9.25,10.3,NA,NA,NA,NA,NA,NA
FIRST ROUND,Forward,80,238.6,81,106.5,8.25,9.5,28.5,35,11.2,2.97,3.27,19
ALL,Guard,72.5,187.8,74,96.5,7.5,7,26,31.5,10.95,3.09,3.3,7
FIRST ROUND,Forward,80.25,199,87.25,109,8.75,8.8,NA,NA,NA,NA,NA,NA
LOTTERY,Forward,79,238,87.25,106,8.75,9.5,33,37.5,11.72,3.13,3.28,9
ALL,Forward,79.5,226.6,85.5,108,9,9.8,29,37.5,10.93,3.01,3.25,10
ALL,Forward,77.75,202.8,86.25,102.5,9,8.8,34.5,37,11.09,3.12,3.32,7
FIRST ROUND,Guard,72.75,182.8,79.25,97.5,8.5,8.3,29.8,35.5,10.9,2.93,3.28,0
ALL,Guard,76.75,209.2,83.25,104.5,8.25,8.3,25,31,10.91,3.1,3.32,15
FIRST ROUND,Forward,81.5,246.2,86,108.5,9.5,9.3,25,31.5,11.78,3.28,3.56,5
LOTTERY,Guard,75,215.4,82.75,102.5,9.25,9,32.5,40.5,10.69,3.2,3.2,5
ALL,Forward,76,201.4,84.25,104.5,9,10.3,34,39.5,11.88,NA,3.18,9
ALL,Guard,72.25,178.8,79,96.5,8.5,9.5,33.5,39.5,10.63,2.81,3.2,6
FIRST ROUND,Guard,72.5,190.2,80.25,98.5,8.25,8.5,33,38,10.84,2.84,3.15,7
ALL,Guard,75.25,193.4,81.75,102,8.75,9.8,NA,NA,NA,NA,NA,NA
ALL,Guard,70.5,167.2,74,93,8.5,9.5,34,43,10.47,3.15,3.13,8
LOTTERY,Guard,73.75,177.4,79.75,97.5,8.25,8.5,34.5,43,10.78,2.88,3.02,3
LOTTERY,Forward,77.25,195.8,82,100.5,8,8.8,34.5,40,10.97,3.2,3.27,12
FIRST ROUND,Forward,81.75,238.6,88,112,9.25,9.3,NA,NA,NA,NA,NA,NA
ALL,Center,82.75,258.2,89.5,113,10,11,NA,NA,NA,NA,NA,NA
FIRST ROUND,Guard,75.75,198.6,79,101,8,8.5,28,34,11.4,3.1,3.21,5
ALL,Forward,80.75,208,86.75,108,9,9,30.5,37,11.25,3.41,3.35,6
ALL,Guard,75,208.8,81.5,100.5,8.75,9.8,31.5,39,10.56,3.05,3.2,15
ALL,Forward,79.25,261.4,85.75,106.5,8.5,9.5,25.5,28.5,12.26,3.54,3.5,8
FIRST ROUND,Forward,76.5,221.8,82.25,104.5,8.5,9.3,NA,NA,NA,NA,NA,NA
ALL,Forward,81.25,216,87.25,111.5,9.25,10.8,NA,NA,NA,NA,NA,NA
FIRST ROUND,Guard,76.25,181.4,79.5,101.5,8,8.5,29.5,31,11.16,3.5,3.29,4
FIRST ROUND,Guard,75.5,208.8,82,102,8.5,7.5,24.5,29.5,12.13,3.05,3.5,NA
FIRST ROUND,Forward,79.5,230.1,86.75,107.5,8.25,8.8,NA,NA,NA,NA,NA,NA
LOTTERY,Forward,77.25,205.2,84,104.5,9,9.8,31.5,39.5,11.39,3.05,3.18,NA
ALL,Forward,85.25,254.1,88,108.5,9.25,10,29,33,12.15,3.03,3.36,NA
LOTTERY,Forward,80.75,252.4,84.75,107,8.75,9,31,33.5,11.39,3.09,3.37,NA
ALL,Forward,79.5,208.8,85,107,9,8.5,30.5,35.5,11.6,3.24,3.26,NA
LOTTERY,Forward,84.25,231.2,85.5,109,9.25,8.8,27,30,12.05,2.91,3.48,NA
ALL,Guard,75,201.9,80.25,100,9,9.3,28,32,11.6,3.26,3.5,NA
LOTTERY,Guard,74.5,184.4,80.75,100,8.25,9.8,36.5,43.5,12.62,2.9,3.18,NA
ALL,Guard,72,192.8,79,97.5,8.25,8,29,39.5,11.28,3.08,3.28,NA
LOTTERY,Guard,73.5,186,78.5,99,8.5,8.3,30.5,36.5,11.55,3.21,3.32,NA
LOTTERY,Guard,75.25,186.3,80,98,8.25,9,33,38.5,10.76,2.98,3.28,NA
ALL,Guard,72.75,191.6,74,94.5,7.75,8.5,29,32,10.78,2.9,3.26,NA
LOTTERY,Forward,79.25,196,86,106.5,9.25,10.5,26.5,32,11.46,3.04,3.44,NA
LOTTERY,Guard,76.5,204.9,80.25,103,8.25,9,NA,NA,NA,NA,NA,NA
LOTTERY,Forward,78,209.4,82.75,101.5,8.5,9,34,40,11.15,2.96,3.18,NA
ALL,Forward,77.25,218.5,83.25,103.5,8.75,9.3,29.5,35,11.55,3.12,3.14,NA
FIRST ROUND,Guard,73,181.5,79.25,98,8.25,8.8,29,36,11.12,2.84,3.3,NA
FIRST ROUND,Guard,76.5,196.3,81.5,103,8.5,9.5,31.5,34.5,10.75,2.88,3.19,NA
ALL,Forward,78.5,218.1,81.5,104,9,9,27,35,11,3.06,3.32,NA
FIRST ROUND,Forward,79.5,220.1,83.75,105,8.75,10.5,32.5,39,10.81,2.76,3.27,NA
LOTTERY,Forward,78.5,214,86.75,107,9.25,9.3,NA,NA,NA,NA,NA,NA
FIRST ROUND,Guard,76.25,228.8,81,101,8.75,9.8,32,37,11.12,NA,3.32,NA
FIRST ROUND,Guard,74.5,204.8,78.75,96,8.5,9.5,NA,NA,NA,NA,NA,NA
LOTTERY,Guard,76.75,215,78,100,8.5,9.8,28.5,33.5,11.11,2.92,3.31,NA
FIRST ROUND,Forward,79.25,208.2,80.5,103,8.5,8.5,29,36,11.21,3.14,3.38,NA
LOTTERY,Forward,79.75,218.4,84.5,105,8.75,9.8,33,37.5,12.63,3.39,3.36,NA
LOTTERY,Guard,73.5,198,79.25,96.5,8.75,9.8,33.5,41.5,10.8,2.95,3.27,NA
ALL,Guard,74.5,218.7,79,99,9,9,NA,NA,NA,NA,NA,NA
ALL,Forward,81.25,252,87.5,109.5,9.25,10.5,28.5,31.5,11.2,3.19,3.48,NA
FIRST ROUND,Guard,76.5,180.9,80.25,100,8.25,8.8,33.5,41.5,10.42,2.8,3.19,NA
LOTTERY,Guard,77,192.4,81,102,8.25,8.5,29,35,11.32,3.08,3.28,NA
ALL,Forward,79.5,227.6,86.25,106.5,9.25,9,29.5,34,11.61,2.91,3.28,NA
LOTTERY,Forward,76.5,195.6,83.25,102,8.75,9.8,33,37,12.71,3.2,3.1,NA
FIRST ROUND,Forward,78.25,218,81.25,103,8.75,9.8,28.5,36.5,11.1,3.15,3.29,NA
LOTTERY,Guard,75.75,179.4,84.5,104,8.75,8.5,27.5,34.5,11.07,3.15,3.39,NA
FIRST ROUND,Guard,71,175.2,75.25,93,8.25,8.5,30.5,37.5,11.6,3.13,3.2,NA
ALL,Forward,79.25,256.8,86.25,105,9.25,9.5,31,35.5,11.57,3.32,3.45,NA
LOTTERY,Guard,76,226,83,101,9,9.3,27.5,32.5,11.63,3.13,3.45,NA
FIRST ROUND,Forward,81,238.5,88,109,9.25,9.5,NA,NA,NA,NA,NA,NA
FIRST ROUND,Guard,74.5,185.4,80,98.5,8.75,9,31.5,35.5,11.06,2.92,3.23,NA
LOTTERY,Forward,81.5,234.4,84.5,105,9,9.3,28.5,35,11.28,2.88,3.2,NA
FIRST ROUND,Forward,79.75,249.7,84,105.5,8.75,8.3,29,35.5,11.45,3.14,3.27,NA
LOTTERY,Forward,77.5,211.4,82,100.5,9,9.5,36.5,41.5,11.22,3.04,3.15,NA
ALL,Forward,78.5,238.7,85.75,106,8.75,9.8,25,31,11.97,3.52,3.44,NA
FIRST ROUND,Guard,74,227.2,81.25,99,9,8.8,33,36,10.82,2.96,3.26,NA
LOTTERY,Guard,71.5,160,75.5,95,8.25,8.5,29.5,34,11.57,3.01,3.27,NA
FIRST ROUND,Guard,77.25,206.9,79.75,102,8.5,8.5,29,35.5,10.79,2.92,3.27,NA
LOTTERY,Forward,79,262.8,85.25,103.5,9.75,10.5,31,36,11.92,3.2,3.26,NA
LOTTERY,Guard,74.25,187,76,96,8.25,9,29,32.5,11.48,3.02,3.48,NA
FIRST ROUND,Forward,80,247.1,88.25,108,9.75,11.8,31,37,11.45,3.29,3.28,NA
FIRST ROUND,Forward,79,220.2,82.25,104,8.75,9,27,35.5,11.1,3.04,3.26,NA
FIRST ROUND,Guard,75.5,201,81.75,100.5,8.75,9,31,37.5,11.3,2.92,3.22,NA
ALL,Guard,74.25,183,77.5,99,8,7.8,27,33,10.83,2.85,NA,NA
FIRST ROUND,Guard,77.25,213.3,84,104,9,9.5,28,35.5,NA,NA,NA,NA
ALL,Forward,80.5,246.8,85.75,103.5,9.25,9.5,32,37.5,11.18,3.06,3.43,NA
FIRST ROUND,Center,82.75,254.5,88.5,109.5,9.5,11,28.5,33,11.85,3.02,3.4,16
ALL,Guard,75.5,197.4,78,100.5,8.5,9.5,28,37.5,10.4,2.7,3.14,4
LOTTERY,Guard,76,189.2,79,100,8.25,8.5,28,34,11.78,3.24,3.4,8
FIRST ROUND,Forward,77.75,199.8,80.75,102,8.5,9,31,36.5,11.33,3.3,3.31,11
FIRST ROUND,Guard,71.75,187,77.5,97.5,8.25,8.8,29.5,36.5,11.2,3.01,3.16,3
FIRST ROUND,Guard,76.5,203.6,80,100.5,8.5,9,29,34.5,10.6,3.2,3.12,7
LOTTERY,Guard,71,188.4,76.5,94.5,8.25,9.5,33,40.5,10.98,2.89,3.22,16
ALL,Forward,79.5,241.2,85.5,107,9,10.3,30,32,11.83,3.07,3.35,13
FIRST ROUND,Guard,76.75,184.4,79.25,101,7.5,8.5,31.5,41,10.68,3.7,3.22,8
ALL,Forward,77.75,210.4,84.25,105,9.25,10.3,28,34.5,11.68,3.12,3.38,3
ALL,Forward,78.25,208.6,85.75,106,9,8.5,29.5,36,11.69,3.1,3.34,9
LOTTERY,Guard,77.25,197.4,83.25,103.5,8.25,8.5,30.5,36,10.67,3.1,3.32,10
ALL,Guard,73,179.2,76,97.5,8,8.3,NA,NA,NA,NA,NA,NA
ALL,Forward,80.5,241.8,85.5,108.5,9,11,26,31.5,11.22,3.14,3.5,7
ALL,Center,82,238.8,88,109,9,11,28,32.5,12.75,3.26,3.4,8
FIRST ROUND,Center,81.75,229.6,87.5,111.5,9,10,NA,NA,NA,NA,NA,NA
ALL,Forward,77.75,200.8,83.5,104.5,8.5,8.8,29.5,36.5,11.55,3.06,3.4,7
LOTTERY,Forward,76.75,202.6,81.25,103.5,8.5,9.5,32,38.5,11.16,3.09,3.25,15
LOTTERY,Forward,76,190.8,83.25,103.5,8.5,8.3,NA,NA,NA,NA,NA,NA
FIRST ROUND,Center,84.5,237.6,92.5,115,9.75,10,25,29,12.85,3.19,3.57,7
FIRST ROUND,Guard,75.75,189,81.5,102,8.5,9,30,36,10.75,3.41,3.27,1
LOTTERY,Guard,73.5,178.2,77.75,98,8.5,9,NA,NA,NA,NA,NA,5
FIRST ROUND,Guard,76.5,199.4,79,101,8,9.3,31.5,37.5,10.68,2.93,3.25,16
FIRST ROUND,Forward,77.5,226,81,103,9,10.5,29.5,37.5,10.77,2.91,3.19,14
ALL,Forward,78.25,249.6,82.25,105.5,8.75,9.5,NA,NA,NA,NA,NA,NA
LOTTERY,Center,82.5,262.8,86,110,9.25,9.5,26.5,30,11.52,3.04,3.52,12
LOTTERY,Guard,69.5,176,70,90,7.5,8.3,NA,NA,NA,NA,NA,NA
LOTTERY,Forward,80.75,232,86,109,8.5,9.3,28.5,34,11.85,3.23,3.51,2
ALL,Guard,73.25,180.4,78.25,98,8.25,9,27.5,33.5,10.64,2.86,3.44,2
ALL,Forward,80.75,241.6,87,106.5,9,10.3,34,38,11.47,2.88,3.44,9
LOTTERY,Forward,81.75,228,83.5,110,9,10,NA,NA,NA,NA,NA,NA
FIRST ROUND,Guard,70.25,170.8,70.75,89.5,7.5,8.8,34.5,44,10.64,3.03,3.08,12
LOTTERY,Guard,76.75,197.2,79.25,102.5,8.5,9.3,27,33.5,10.72,3.16,3.32,4
FIRST ROUND,Center,NA,NA,87.5,NA,9,10.8,NA,NA,NA,NA,NA,NA
ALL,Forward,79.5,209.2,86.25,104.5,8.75,9,32.5,40.5,10.19,2.79,3.1,NA
ALL,Forward,78.75,235.8,88,106.5,9.5,11.5,30,36.5,12.01,2.97,3.32,21
LOTTERY,Guard,72.25,191.4,75.25,96.5,8,8.8,30.5,40,10.82,3.08,3.25,5
FIRST ROUND,Guard,74.25,197,78.25,96.5,8,9.5,32,38.5,11.02,2.91,3.32,13
FIRST ROUND,Guard,75.5,189.2,79.75,100.5,8.75,9.5,32.5,42,11.87,3.11,3.27,6
LOTTERY,Forward,79.5,236.4,86.5,106.5,9,10,33.5,38,11.82,3.25,3.52,13
FIRST ROUND,Forward,76.75,221.8,83,104.5,9,10,29.5,37,10.99,2.93,3.32,10
LOTTERY,Forward,80.75,239.8,82.5,108,8.75,9.8,24.5,29.5,12.19,2.96,3.57,13
LOTTERY,Forward,82.25,230.2,85,108,8.5,9,28,33.5,11.76,2.99,3.44,5
FIRST ROUND,Center,82,206.4,87.75,110,9.5,10,NA,NA,NA,NA,NA,NA
FIRST ROUND,Guard,75.25,213.2,81.25,100.5,8.75,9.3,33,42,10.69,3.14,3.25,15
FIRST ROUND,Forward,82.75,234,81.75,108,8.5,10,24.5,29.5,11.42,2.99,3.59,5
ALL,Guard,74.75,201,82.25,98,8.5,9.5,33.5,39.5,11.16,2.9,3.37,15
ALL,Forward,81.5,207.2,86.5,109,8.75,9.5,31,34.5,11.49,3.2,3.32,0
FIRST ROUND,Forward,83.25,238.2,83,108,9.75,9.5,30.5,36,10.89,2.76,3.29,14
ALL,Forward,79.5,197.6,85.5,105.5,8.75,9.3,27,36,11.25,3.06,3.4,9
ALL,Guard,69.5,177,74.25,92,7.75,9.8,33,38.5,10.86,3.02,3.13,7
ALL,Forward,76.5,210.8,81.25,101.5,8.5,9,33,40.5,10.99,3.08,3.25,10
FIRST ROUND,Forward,78.25,205.8,83,104.5,8.75,9.5,30,36.5,11.36,3.02,3.34,10
ALL,Guard,73,164.8,79.75,98,8.75,10.5,30,34,11.09,2.86,3.21,1
LOTTERY,Guard,71.5,180.6,75,93,8,9.8,33.5,41.5,10.59,2.93,3.16,15
FIRST ROUND,Forward,78,198.2,83.5,105.5,9,9.5,30,36.5,11.36,2.84,3.25,7
ALL,Forward,79,220.6,85,106,8,9.5,29,32,10.9,3.03,3.38,5
ALL,Forward,76.75,231.8,85,99,9.25,9.5,34.5,40.5,11.64,3.11,3.32,13
LOTTERY,Forward,77,219.8,82,104,8,8.8,28.5,32,12.94,3.38,3.53,5
LOTTERY,Center,82.75,221.8,86,110.5,9,9.8,26.5,29,12.49,3.29,3.47,10
LOTTERY,Guard,75.5,196.4,75.75,98,8.25,8.8,NA,NA,NA,NA,NA,8
ALL,Guard,74.25,178.8,80.25,99,8.5,9.5,NA,NA,NA,NA,NA,NA
ALL,Forward,82.75,230,82.75,106,8.5,10.5,35.5,37.5,10.82,2.69,3.15,17
ALL,Forward,78.5,223.8,86.75,106.5,9.5,11,32,37,10.48,NA,3.28,13
ALL,Forward,79,227.8,83.25,101.5,9,8.5,38,39.5,10.93,NA,3.16,15
ALL,Forward,77,174.4,81.75,102.5,9,9.5,30,34,12.5,NA,3.6,0
ALL,Guard,75.25,201.8,80,100,8.5,9,33,39,10.95,NA,3.28,8
ALL,Guard,73,202.4,77.25,96,7.75,8.3,26,29.5,11.68,NA,3.47,3
ALL,Forward,76,214.6,81.5,102,8.75,10,27.5,32.5,11.4,NA,3.43,8
ALL,Forward,76.75,241.2,81.25,99.5,9.5,10.5,31,34.5,11.45,NA,3.37,20
ALL,Guard,75.5,187.6,78.5,98,8.25,9,NA,NA,NA,NA,NA,4
ALL,Forward,81.25,221.8,89.5,108,9,8.5,NA,NA,NA,NA,NA,NA
ALL,Guard,74.25,188.2,77,94.5,8.25,9.8,33.5,40,10.82,NA,3.19,8
ALL,Center,81.75,278.6,90.25,109.5,9.5,9.5,31.5,33.5,10.83,NA,3.39,10
ALL,Guard,76.5,192,78.5,98,8.5,8.8,29,36.5,10.59,NA,3.33,NA
ALL,Forward,81.75,264.2,89.75,108,9,10.8,34,33.5,12.35,NA,3.29,18
ALL,Forward,80,239,83.5,103.5,8.5,9.8,29,34,11.35,NA,3.49,10
ALL,Forward,77.75,235.6,85.25,105,9,9.5,28,33,11.01,NA,3.4,9
ALL,Forward,80,217.4,86.25,106.5,9.25,9.3,29.5,32.5,10.63,NA,3.38,19
ALL,Forward,79.25,206.6,84,102.5,9.25,10.3,32.5,37,10.87,NA,3.25,5
ALL,Forward,81,216,89,112,9.25,10,25.5,30,NA,NA,NA,5
ALL,Guard,70.5,186.8,77.5,94.5,8.75,10,28,35,11,NA,3.42,12
ALL,Forward,79.25,218,80.5,102,8.5,9.5,27.5,30,11.56,NA,3.41,13
ALL,Forward,80.75,229.8,87,108.5,9,9.3,30,32.5,11.84,NA,3.4,6
ALL,Guard,75.25,212,80.5,98,9,9,30.5,36.5,11.36,NA,3.37,10
ALL,Guard,73.5,212,79,96,8.75,8.8,33.5,41.5,10.76,NA,3.21,17
ALL,Guard,75.75,223.8,83.25,99,9,9.5,32,39.5,10.98,NA,3.25,13
ALL,Forward,78.25,251.2,85.5,105,9,7.8,27.5,32.5,11.94,NA,3.6,17
ALL,Forward,82.25,233.8,85.75,107,9.25,9.5,33,38.5,11.31,NA,3.19,11
ALL,Forward,80.25,252,86.25,107,9,10,29.5,34.5,11.57,NA,3.4,12
ALL,Guard,78,215,83,104,9,9,28.5,35,NA,NA,3.46,6
ALL,Forward,77.75,232.8,84,104.5,9,10.3,32,35.5,11.77,NA,3.18,6
ALL,Guard,75.25,199.4,78.75,98.5,8.5,8.8,29,33.5,11.12,NA,3.41,2
ALL,Guard,76,179.2,83,102,8.75,9.3,31.5,38,10.98,NA,3.25,5
ALL,Center,83.75,249.8,87,108,9.25,11,30,32.5,11.34,NA,3.41,19
ALL,Guard,73.75,188.8,79.75,95.5,8.75,9.8,34.5,39.5,11.15,NA,3.34,13
ALL,Guard,73,205.8,76,94.5,8.5,9.5,27,32.5,11.26,NA,3.3,17
ALL,Guard,75.25,198.4,77.5,96,8.5,9,31,37,12.03,NA,3.23,NA
ALL,Center,82.75,255,86.5,110,9,10,29.5,31,12.14,NA,3.44,9
ALL,Forward,78.75,216.2,82.75,103,9,9,28,31,11.45,NA,3.47,4
ALL,Forward,78,233.4,81,101,8.5,8.8,33,37,11.34,NA,3.31,14
ALL,Forward,80.75,218.7,85.25,105,9.25,10.3,30.5,36,11.05,NA,3.48,8
ALL,Forward,81.5,232.8,86.25,106.5,9.25,9.3,33.5,37.5,11.32,NA,3.22,10
ALL,Guard,77,194,78.75,99,8.5,8.5,31,36.5,10.97,NA,3.42,11
ALL,Forward,80.5,234,88,107,10,10.8,28.5,30.5,11.89,NA,3.67,10
ALL,Forward,80.5,240.8,88.75,106.5,9.5,10,31.5,31.5,11.65,NA,3.53,NA
ALL,Forward,82.5,252.4,84.75,105.5,9.25,9,34,40.5,10.64,NA,3.36,15
ALL,Guard,75.5,202.8,79.25,96.5,8.5,10,32.5,37.5,11.54,NA,3.32,1
ALL,Forward,79.75,244.2,87.25,106,9.75,10.5,28.5,35.5,11.96,NA,3.17,15
ALL,Forward,78,196.6,79.25,100.5,8.75,10.3,31,37.5,11.78,NA,3.28,2
ALL,Guard,78.5,200.6,79.25,100,8.5,9.5,NA,NA,NA,NA,NA,NA
ALL,Forward,79.25,240.8,82.75,104,8.5,9,27,32.5,11.59,NA,3.44,14
ALL,Forward,82,241.2,88,108,9.25,10,26.5,29.5,12.33,NA,3.44,7
ALL,Forward,79.75,268.2,85.25,105.5,9.25,9.8,29.5,31,12.77,NA,3.81,9
ALL,Forward,78,212.8,78.25,101.5,8.25,9.8,33.5,40,10.87,NA,3.29,15
