Position,Draft,Percentile,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vert,Max Vert,Lane Agility,Shuttle,Sprint,Bench
Center,LOTTERY,0.18,81,223.672,85.51,107.5,9,9.5,26,29.75,12.01,3.315,3.5,9.4
Center,LOTTERY,0.19,81,225.576,85.58,107.5,9,9.5,26,29.875,12.005,3.3075,3.5,9.7
Center,LOTTERY,0.2,81,227.48,85.65,107.5,9,9.5,26,30,12,3.3,3.5,10
Center,LOTTERY,0.21,81,229.384,85.72,107.5,9,9.5,26.125,30,11.975,3.2975,3.5,10.05
Center,LOTTERY,0.22,81,230.552,85.79,107.58,9,9.5,26.25,30,11.95,3.295,3.5,10.1
Center,LOTTERY,0.23,81,231.168,85.86,107.72,9,9.5,26.375,30,11.925,3.2925,3.5,10.15
Center,LOTTERY,0.24,81,231.784,85.93,107.86,9,9.5,26.5,30,11.9,3.29,3.5,10.2
Center,LOTTERY,0.25,81,232.4,86,108,9,9.5,26.5,30.125,11.9,3.28,3.4925,10.25
Center,LOTTERY,0.26,81,232.512,86,108.14,9,9.5,26.5,30.25,11.9,3.27,3.485,10.3
Center,LOTTERY,0.27,81,232.624,86,108.28,9,9.5,26.5,30.375,11.9,3.26,3.4775,10.35
Center,LOTTERY,0.28,81,232.736,86,108.42,9,9.5,26.5,30.5,11.9,3.25,3.47,10.4
Center,LOTTERY,0.29,81,232.944,86,108.5,9,9.536,26.625,30.625,11.8875,3.2425,3.4625,10.45
Center,LOTTERY,0.3,81,233.28,86,108.5,9,9.62,26.75,30.75,11.875,3.235,3.455,10.5
Center,LOTTERY,0.31,81,233.616,86,108.5,9,9.704,26.875,30.875,11.8625,3.2275,3.4475,10.55
Center,LOTTERY,0.32,81,233.952,86,108.5,9,9.788,27,31,11.85,3.22,3.44,10.6
Center,LOTTERY,0.33,81.06,234.624,86.06,108.5,9,9.8,27,31.125,11.8375,3.215,3.4375,10.65
Center,LOTTERY,0.34,81.13,235.352,86.13,108.5,9,9.8,27,31.25,11.825,3.21,3.435,10.7
Center,LOTTERY,0.35,81.2,236.08,86.2,108.5,9,9.8,27,31.375,11.8125,3.205,3.4325,10.75
Center,LOTTERY,0.36,81.27,236.616,86.27,108.5,9,9.8,27,31.5,11.8,3.2,3.43,10.8
Center,LOTTERY,0.37,81.34,236.672,86.34,108.5,9,9.8,27.125,31.5,11.79,3.1975,3.43,10.85
Center,LOTTERY,0.38,81.41,236.728,86.41,108.5,9,9.8,27.25,31.5,11.78,3.195,3.43,10.9
Center,LOTTERY,0.39,81.48,236.784,86.48,108.5,9,9.8,27.375,31.5,11.77,3.1925,3.43,10.95
Center,LOTTERY,0.4,81.6,236.84,86.5,108.6,9,9.84,27.5,31.5,11.76,3.19,3.43,11
Center,LOTTERY,0.41,81.74,236.896,86.5,108.74,9,9.896,27.5,31.75,11.755,3.1825,3.4225,11.05
Center,LOTTERY,0.42,81.88,236.952,86.5,108.88,9,9.952,27.5,32,11.75,3.175,3.415,11.1
Center,LOTTERY,0.43,82.01,237.112,86.5,109.04,9,10,27.5,32.25,11.745,3.1675,3.4075,11.15
Center,LOTTERY,0.44,82.08,237.896,86.5,109.32,9,10,27.5,32.5,11.74,3.16,3.4,11.2
Center,LOTTERY,0.45,82.15,238.68,86.5,109.6,9,10,27.625,32.625,11.7325,3.16,3.3725,11.25
Center,LOTTERY,0.46,82.22,239.464,86.5,109.88,9,10,27.75,32.75,11.725,3.16,3.345,11.3
Center,LOTTERY,0.47,82.258,239.896,86.54,110,9,10,27.875,32.875,11.7175,3.16,3.3175,11.35
Center,LOTTERY,0.48,82.272,240.064,86.61,110,9,10,28,33,11.71,3.16,3.29,11.4
Center,LOTTERY,0.49,82.286,240.232,86.68,110,9,10,28,33,11.695,3.15,3.2875,11.45
